country,countryterritoryCode,totalCases,totalDeaths
Vanuatu,VUT,1,0
Wallis_and_Futuna,ESH,3,0
Marshall_Islands,MHL,4,0
Anguilla,AIA,10,0
Montserrat,MSF,13,1
Solomon_Islands,SLB,17,0
Falkland_Islands_(Malvinas),FLK,19,0
Greenland,GRL,19,0
Holy_See,VAT,26,0
Saint_Kitts_and_Nevis,KNA,27,0
Timor_Leste,TLS,31,0
New_Caledonia,NCL,36,0
Laos,LAO,41,0
Fiji,FJI,46,2
Grenada,GRD,69,0
British_Virgin_Islands,VGB,76,1
Dominica,DMA,87,0
Saint_Vincent_and_the_Grenadines,VCT,98,0
Northern_Mariana_Islands,MNP,113,2
Antigua_and_Barbuda,ATG,148,4
Brunei_Darussalam,BRN,152,3
"Bonaire, Saint Eustatius and Saba",BES,173,3
Seychelles,SYC,187,0
Saint_Lucia,LCA,275,4
Guernsey,GGY,289,13
Barbados,BRB,292,7
Cayman_Islands,CYM,298,2
Cambodia,KHM,359,0
Isle_of_Man,IMN,370,25
Bermuda,BMU,431,9
Bhutan,BTN,438,0
United_Republic_of_Tanzania,TZA,509,21
Mauritius,MUS,515,10
Faroe_Islands,FRO,528,0
Comoros,COM,628,7
Monaco,MCO,668,2
Cases_on_an_international_conveyance_Japan,,696,7
Eritrea,ERI,711,0
Papua_New_Guinea,PNG,725,8
Burundi,BDI,729,1
Taiwan,CNG1925,740,7
Western_Sahara,YEM,766,1
Turks_and_Caicos_islands,TCA,769,6
Mongolia,MNG,912,0
Sao_Tome_and_Principe,STP,1009,17
Gibraltar,GIB,1075,5
Sint_Maarten,SXM,1232,26
Vietnam,VNM,1397,35
Liechtenstein,LIE,1514,18
Liberia,LBR,1676,83
New_Zealand,NZL,1740,25
Chad,TCD,1770,102
Jersey,JEY,1779,32
United_States_Virgin_Islands,VIR,1807,23
San_Marino,SMR,1947,51
Yemen,ZMB,2083,606
Lesotho,LSO,2250,44
Niger,NER,2258,80
Sierra_Leone,SLE,2440,75
Guinea_Bissau,GNB,2444,44
Benin,BEN,3090,44
South_Sudan,SSD,3206,62
Togo,TGO,3251,66
Curaçao,CUW,3624,11
Gambia,GMB,3782,123
Burkina_Faso,BFA,4030,71
Thailand,THA,4237,60
Somalia,SOM,4579,121
Central_African_Republic,CAF,4936,63
Aruba,ABW,5049,46
Equatorial_Guinea,GNQ,5185,85
Suriname,SUR,5353,117
Iceland,ISL,5557,28
Djibouti,DJI,5728,61
Mali,MLI,5814,194
Nicaragua,NIC,5887,162
Guyana,GUY,5920,155
Congo,COG,6049,99
Malawi,MWI,6066,187
Rwanda,RWA,6659,56
Eswatini,SWZ,6768,127
Trinidad_and_Tobago,TTO,6879,122
Guam,GUM,7106,118
Andorra,AND,7338,79
Bahamas,BHS,7674,163
Syria,SYR,9166,518
Belize,BLZ,9295,195
Gabon,GAB,9330,63
Cuba,CUB,9423,137
Haiti,HTI,9565,234
Uruguay,URY,9708,92
Mauritania,MRT,10780,222
Malta,MLT,11101,166
Zimbabwe,,11246,307
Cape_Verde,CPV,11357,110
Jamaica,JAM,11710,273
Botswana,BWA,12501,37
Tajikistan,TJK,12704,88
Maldives,MDV,13368,48
Guinea,GIN,13420,79
Democratic_Republic_of_the_Congo,COD,14512,355
Cyprus,CYP,15101,78
French_Polynesia,PYF,15618,91
Angola,AGO,16188,371
Namibia,NAM,16536,160
Mozambique,MOZ,16954,142
Senegal,SEN,17075,349
Madagascar,MDG,17638,258
Estonia,EST,18055,149
Zambia,ZWE,18274,367
Sudan,SDN,21386,1347
Cote_dIvoire,CIV,21680,133
Cameroon,CMR,25143,443
Latvia,LVA,25675,349
Uganda,UGA,27532,221
Australia,AUS,28031,908
Finland,FIN,30810,453
Sri_Lanka,LKA,32790,152
Norway,NOR,40022,387
Luxembourg,LUX,41272,396
Montenegro,MNE,41426,582
El_Salvador,SLV,41880,1205
South_Korea,KOR,43484,587
Kosovo,XKX,46580,1198
Albania,ALB,48530,1003
Afghanistan,AFG,49273,1971
Ghana,GHA,53014,327
Singapore,SGP,58320,29
Nigeria,NGA,73175,1197
North_Macedonia,MKD,73638,2121
Uzbekistan,UZB,75094,612
Ireland,IRL,76185,2124
Kyrgyzstan,KGZ,77674,1312
Malaysia,MYS,83475,415
Bahrain,BHR,89143,348
Libya,LBY,90779,1299
Kenya,KEN,91892,1587
China,CHN,92021,4739
Algeria,DZA,92102,2596
Paraguay,PRY,93582,1953
Lithuania,LTU,95021,825
Slovenia,SVN,96314,1459
Bosnia_and_Herzegovina,BIH,101117,3336
Puerto_Rico,PRI,107158,1272
Venezuela,VEN,107177,949
Myanmar,MMR,108342,2268
Denmark,DNK,109758,941
Tunisia,TUN,111361,3894
Honduras,HND,114359,2975
Ethiopia,ETH,116769,1806
Egypt,EGY,121575,6920
Greece,GRC,124534,3625
Palestine,PSE,124657,1079
Oman,OMN,126240,1471
Moldova,MDA,126518,2572
Guatemala,GTM,129282,4423
Slovakia,SVK,132984,1175
Qatar,QAT,140961,240
Kuwait,KWT,146218,911
Lebanon,LBN,146520,1200
Bolivia,BOL,147150,9018
Armenia,ARM,148682,2503
Costa_Rica,CRI,150947,1895
Dominican_Republic,DOM,154692,2361
Belarus,BLR,160295,1263
Azerbaijan,AZE,175874,1922
Croatia,HRV,175886,2640
Bulgaria,BGR,179449,5688
Japan,JPN,179653,2585
United_Arab_Emirates,ARE,184949,617
Kazakhstan,KAZ,186277,2552
Georgia,GEO,191063,1839
Panama,PAN,193007,3356
Ecuador,ECU,202110,13875
Nepal,NPL,248423,1698
Jordan,JOR,259614,3365
Serbia,SRB,266432,2331
Hungary,HUN,283870,7130
Austria,AUT,320036,4400
Sweden,SWE,320098,7514
Portugal,PRT,348744,5559
Israel,ISR,357859,2999
Saudi_Arabia,SAU,359888,6048
Switzerland,CHE,372329,5378
Morocco,MAR,399609,6624
Pakistan,PAK,440787,8832
Philippines,PHL,449400,8733
Canada,CAN,460743,13431
Bangladesh,BGD,490533,7052
Romania,ROU,556335,13385
Chile,CHL,571919,15886
Iraq,IRQ,574634,12579
Czechia,CZE,581079,9609
Belgium,BEL,608001,17951
Netherlands,NLD,612746,10034
Indonesia,IDN,617820,18819
South_Africa,ZAF,860964,23276
Ukraine,UKR,900666,15247
Peru,PER,984973,36677
Turkey,TUR,995471,16199
Iran,IRN,1108269,52196
Poland,POL,1135676,22864
Mexico,MEX,1250044,113953
Germany,DEU,1337078,21975
Colombia,COL,1425774,39053
Argentina,ARG,1498160,40766
Spain,ESP,1730575,47624
Italy,ITA,1843712,64520
United_Kingdom,GBR,1849403,64170
France,FRA,2376852,57911
Russia,RUS,2653928,46941
Brazil,BRA,6901952,181402
India,IND,9884100,143355
United_States_of_America,USA,16256754,299177
