date,cases,deaths,countryterritoryCode
2020-12-14,746,6,AFG
2020-12-13,298,9,AFG
2020-12-12,113,11,AFG
2020-12-11,63,10,AFG
2020-12-10,202,16,AFG
2020-12-09,135,13,AFG
2020-12-08,200,6,AFG
2020-12-07,210,26,AFG
2020-12-06,234,10,AFG
2020-12-05,235,18,AFG
2020-12-04,119,5,AFG
2020-12-03,202,19,AFG
2020-12-02,400,48,AFG
2020-12-01,272,11,AFG
2020-11-30,0,0,AFG
2020-11-29,228,11,AFG
2020-11-28,214,15,AFG
2020-11-27,0,0,AFG
2020-11-26,200,12,AFG
2020-11-25,185,13,AFG
2020-11-24,246,17,AFG
2020-11-23,252,8,AFG
2020-11-22,154,12,AFG
2020-11-21,232,25,AFG
2020-11-20,282,5,AFG
2020-11-19,0,0,AFG
2020-11-18,383,13,AFG
2020-11-17,65,6,AFG
2020-11-16,163,9,AFG
2020-11-15,205,12,AFG
2020-11-14,66,10,AFG
2020-11-13,360,14,AFG
2020-11-12,146,4,AFG
2020-11-11,0,0,AFG
2020-11-10,224,12,AFG
2020-11-09,80,3,AFG
2020-11-08,126,6,AFG
2020-11-07,58,2,AFG
2020-11-06,40,0,AFG
2020-11-05,121,6,AFG
2020-11-04,86,4,AFG
2020-11-03,95,3,AFG
2020-11-02,132,5,AFG
2020-11-01,76,0,AFG
2020-10-31,157,4,AFG
2020-10-30,123,3,AFG
2020-10-29,0,0,AFG
2020-10-28,113,7,AFG
2020-10-27,199,8,AFG
2020-10-26,65,3,AFG
2020-10-25,81,4,AFG
2020-10-24,61,2,AFG
2020-10-23,116,4,AFG
2020-10-22,135,2,AFG
2020-10-21,88,2,AFG
2020-10-20,87,5,AFG
2020-10-19,59,4,AFG
2020-10-18,68,3,AFG
2020-10-17,47,4,AFG
2020-10-16,0,0,AFG
2020-10-15,32,1,AFG
2020-10-14,66,0,AFG
2020-10-13,129,3,AFG
2020-10-12,96,4,AFG
2020-10-11,0,0,AFG
2020-10-10,10,1,AFG
2020-10-09,77,2,AFG
2020-10-08,68,1,AFG
2020-10-07,62,2,AFG
2020-10-06,145,5,AFG
2020-10-05,44,0,AFG
2020-10-04,7,4,AFG
2020-10-03,5,0,AFG
2020-10-02,17,0,AFG
2020-10-01,14,0,AFG
2020-09-30,15,2,AFG
2020-09-29,12,3,AFG
2020-09-28,0,0,AFG
2020-09-27,35,0,AFG
2020-09-26,6,2,AFG
2020-09-25,16,0,AFG
2020-09-24,25,5,AFG
2020-09-23,71,2,AFG
2020-09-22,30,3,AFG
2020-09-21,0,0,AFG
2020-09-20,125,4,AFG
2020-09-19,47,1,AFG
2020-09-18,0,0,AFG
2020-09-17,17,0,AFG
2020-09-16,40,10,AFG
2020-09-15,99,6,AFG
2020-09-14,75,0,AFG
2020-09-13,35,0,AFG
2020-09-12,34,0,AFG
2020-09-11,28,0,AFG
2020-09-10,24,2,AFG
2020-09-09,26,3,AFG
2020-09-08,96,3,AFG
2020-09-07,74,2,AFG
2020-09-06,20,0,AFG
2020-09-05,16,0,AFG
2020-09-04,45,1,AFG
2020-09-03,38,3,AFG
2020-09-02,9,0,AFG
2020-09-01,34,4,AFG
2020-08-31,19,0,AFG
2020-08-30,3,0,AFG
2020-08-29,11,1,AFG
2020-08-28,3,0,AFG
2020-08-27,55,4,AFG
2020-08-26,1,0,AFG
2020-08-25,71,10,AFG
2020-08-24,0,0,AFG
2020-08-23,105,2,AFG
2020-08-22,38,0,AFG
2020-08-21,97,2,AFG
2020-08-20,160,8,AFG
2020-08-19,0,0,AFG
2020-08-18,3,0,AFG
2020-08-17,45,5,AFG
2020-08-16,120,7,AFG
2020-08-15,7,0,AFG
2020-08-14,79,9,AFG
2020-08-13,76,10,AFG
2020-08-12,215,32,AFG
2020-08-11,0,0,AFG
2020-08-10,0,0,AFG
2020-08-09,39,5,AFG
2020-08-08,78,9,AFG
2020-08-07,41,0,AFG
2020-08-06,67,4,AFG
2020-08-05,82,6,AFG
2020-08-04,37,4,AFG
2020-08-03,0,1,AFG
2020-08-02,0,0,AFG
2020-08-01,168,12,AFG
2020-07-31,71,0,AFG
2020-07-30,0,0,AFG
2020-07-29,103,1,AFG
2020-07-28,105,1,AFG
2020-07-27,106,10,AFG
2020-07-26,121,13,AFG
2020-07-25,108,35,AFG
2020-07-24,13,0,AFG
2020-07-23,188,21,AFG
2020-07-22,112,4,AFG
2020-07-21,140,5,AFG
2020-07-20,174,17,AFG
2020-07-19,12,17,AFG
2020-07-18,219,32,AFG
2020-07-17,76,21,AFG
2020-07-16,254,49,AFG
2020-07-15,285,33,AFG
2020-07-14,4,2,AFG
2020-07-13,0,0,AFG
2020-07-12,85,16,AFG
2020-07-11,458,37,AFG
2020-07-10,255,20,AFG
2020-07-09,59,1,AFG
2020-07-08,210,16,AFG
2020-07-07,433,56,AFG
2020-07-06,279,38,AFG
2020-07-05,348,7,AFG
2020-07-04,302,12,AFG
2020-07-03,186,33,AFG
2020-07-02,319,28,AFG
2020-07-01,279,13,AFG
2020-06-30,271,12,AFG
2020-06-29,351,18,AFG
2020-06-28,165,20,AFG
2020-06-27,276,8,AFG
2020-06-26,460,36,AFG
2020-06-25,234,21,AFG
2020-06-24,338,20,AFG
2020-06-23,310,17,AFG
2020-06-22,409,12,AFG
2020-06-21,546,21,AFG
2020-06-20,346,2,AFG
2020-06-19,658,42,AFG
2020-06-18,564,13,AFG
2020-06-17,783,13,AFG
2020-06-16,761,7,AFG
2020-06-15,664,20,AFG
2020-06-14,556,5,AFG
2020-06-13,656,20,AFG
2020-06-12,747,21,AFG
2020-06-11,684,21,AFG
2020-06-10,542,15,AFG
2020-06-09,575,12,AFG
2020-06-08,791,30,AFG
2020-06-07,582,18,AFG
2020-06-06,915,9,AFG
2020-06-05,787,6,AFG
2020-06-04,758,24,AFG
2020-06-03,759,5,AFG
2020-06-02,545,8,AFG
2020-06-01,680,8,AFG
2020-05-31,866,3,AFG
2020-05-30,623,11,AFG
2020-05-29,580,8,AFG
2020-05-28,625,7,AFG
2020-05-27,658,1,AFG
2020-05-26,591,1,AFG
2020-05-25,584,2,AFG
2020-05-24,782,11,AFG
2020-05-23,540,12,AFG
2020-05-22,531,6,AFG
2020-05-21,492,9,AFG
2020-05-20,581,5,AFG
2020-05-19,408,4,AFG
2020-05-18,262,1,AFG
2020-05-17,0,0,AFG
2020-05-16,1063,32,AFG
2020-05-15,113,6,AFG
2020-05-14,259,3,AFG
2020-05-13,280,5,AFG
2020-05-12,285,2,AFG
2020-05-11,369,5,AFG
2020-05-10,255,6,AFG
2020-05-09,215,3,AFG
2020-05-08,171,2,AFG
2020-05-07,168,9,AFG
2020-05-06,330,5,AFG
2020-05-05,190,5,AFG
2020-05-04,235,13,AFG
2020-05-03,134,4,AFG
2020-05-02,164,4,AFG
2020-05-01,222,4,AFG
2020-04-30,122,0,AFG
2020-04-29,124,3,AFG
2020-04-28,172,0,AFG
2020-04-27,68,10,AFG
2020-04-26,112,4,AFG
2020-04-25,70,1,AFG
2020-04-24,105,2,AFG
2020-04-23,84,4,AFG
2020-04-22,61,1,AFG
2020-04-21,35,2,AFG
2020-04-20,88,3,AFG
2020-04-19,63,0,AFG
2020-04-18,51,1,AFG
2020-04-17,10,4,AFG
2020-04-16,70,2,AFG
2020-04-15,49,2,AFG
2020-04-14,58,3,AFG
2020-04-13,52,0,AFG
2020-04-12,34,3,AFG
2020-04-11,37,0,AFG
2020-04-10,61,1,AFG
2020-04-09,56,3,AFG
2020-04-08,30,4,AFG
2020-04-07,38,0,AFG
2020-04-06,29,2,AFG
2020-04-05,35,1,AFG
2020-04-04,0,0,AFG
2020-04-03,43,0,AFG
2020-04-02,26,0,AFG
2020-04-01,25,0,AFG
2020-03-31,27,0,AFG
2020-03-30,8,1,AFG
2020-03-29,15,1,AFG
2020-03-28,16,1,AFG
2020-03-27,0,0,AFG
2020-03-26,33,0,AFG
2020-03-25,2,0,AFG
2020-03-24,6,1,AFG
2020-03-23,10,0,AFG
2020-03-22,0,0,AFG
2020-03-21,2,0,AFG
2020-03-20,0,0,AFG
2020-03-19,0,0,AFG
2020-03-18,1,0,AFG
2020-03-17,5,0,AFG
2020-03-16,6,0,AFG
2020-03-15,3,0,AFG
2020-03-11,3,0,AFG
2020-03-08,3,0,AFG
2020-03-02,0,0,AFG
2020-03-01,0,0,AFG
2020-02-29,0,0,AFG
2020-02-28,0,0,AFG
2020-02-27,0,0,AFG
2020-02-26,0,0,AFG
2020-02-25,1,0,AFG
2020-02-24,0,0,AFG
2020-02-23,0,0,AFG
2020-02-22,0,0,AFG
2020-02-21,0,0,AFG
2020-02-20,0,0,AFG
2020-02-19,0,0,AFG
2020-02-18,0,0,AFG
2020-02-17,0,0,AFG
2020-02-16,0,0,AFG
2020-02-15,0,0,AFG
2020-02-14,0,0,AFG
2020-02-13,0,0,AFG
2020-02-12,0,0,AFG
2020-02-11,0,0,AFG
2020-02-10,0,0,AFG
2020-02-09,0,0,AFG
2020-02-08,0,0,AFG
2020-02-07,0,0,AFG
2020-02-06,0,0,AFG
2020-02-05,0,0,AFG
2020-02-04,0,0,AFG
2020-02-03,0,0,AFG
2020-02-02,0,0,AFG
2020-02-01,0,0,AFG
2020-01-31,0,0,AFG
2020-01-30,0,0,AFG
2020-01-29,0,0,AFG
2020-01-28,0,0,AFG
2020-01-27,0,0,AFG
2020-01-26,0,0,AFG
2020-01-25,0,0,AFG
2020-01-24,0,0,AFG
2020-01-23,0,0,AFG
2020-01-22,0,0,AFG
2020-01-21,0,0,AFG
2020-01-20,0,0,AFG
2020-01-19,0,0,AFG
2020-01-18,0,0,AFG
2020-01-17,0,0,AFG
2020-01-16,0,0,AFG
2020-01-15,0,0,AFG
2020-01-14,0,0,AFG
2020-01-13,0,0,AFG
2020-01-12,0,0,AFG
2020-01-11,0,0,AFG
2020-01-10,0,0,AFG
2020-01-09,0,0,AFG
2020-01-08,0,0,AFG
2020-01-07,0,0,AFG
2020-01-06,0,0,AFG
2020-01-05,0,0,AFG
2020-01-04,0,0,AFG
2020-01-03,0,0,AFG
2020-01-02,0,0,AFG
2020-01-01,0,0,AFG
2019-12-31,0,0,AFG
2020-12-14,788,14,ALB
2020-12-13,879,12,ALB
2020-12-12,802,12,ALB
2020-12-11,873,14,ALB
2020-12-10,752,15,ALB
2020-12-09,753,14,ALB
2020-12-08,695,17,ALB
2020-12-07,840,16,ALB
2020-12-06,846,19,ALB
2020-12-05,801,18,ALB
2020-12-04,782,13,ALB
2020-12-03,705,17,ALB
2020-12-02,832,12,ALB
2020-12-01,557,12,ALB
2020-11-30,835,11,ALB
2020-11-29,545,16,ALB
2020-11-28,645,18,ALB
2020-11-27,656,10,ALB
2020-11-26,644,8,ALB
2020-11-25,744,19,ALB
2020-11-24,795,17,ALB
2020-11-23,565,14,ALB
2020-11-22,737,13,ALB
2020-11-21,836,15,ALB
2020-11-20,786,11,ALB
2020-11-19,711,9,ALB
2020-11-18,694,6,ALB
2020-11-17,602,8,ALB
2020-11-16,597,11,ALB
2020-11-15,532,7,ALB
2020-11-14,490,7,ALB
2020-11-13,410,8,ALB
2020-11-12,507,11,ALB
2020-11-11,563,8,ALB
2020-11-10,525,12,ALB
2020-11-09,501,2,ALB
2020-11-08,495,8,ALB
2020-11-07,489,6,ALB
2020-11-06,421,7,ALB
2020-11-05,396,4,ALB
2020-11-04,381,5,ALB
2020-11-03,321,9,ALB
2020-11-02,327,9,ALB
2020-11-01,241,7,ALB
2020-10-31,319,3,ALB
2020-10-30,275,6,ALB
2020-10-29,311,6,ALB
2020-10-28,284,7,ALB
2020-10-27,288,3,ALB
2020-10-26,299,4,ALB
2020-10-25,302,4,ALB
2020-10-24,306,4,ALB
2020-10-23,302,3,ALB
2020-10-22,297,4,ALB
2020-10-21,301,4,ALB
2020-10-20,295,3,ALB
2020-10-19,281,3,ALB
2020-10-18,273,5,ALB
2020-10-17,289,4,ALB
2020-10-16,257,5,ALB
2020-10-15,203,5,ALB
2020-10-14,182,5,ALB
2020-10-13,171,4,ALB
2020-10-12,168,4,ALB
2020-10-11,165,3,ALB
2020-10-10,167,2,ALB
2020-10-09,169,4,ALB
2020-10-08,162,4,ALB
2020-10-07,158,3,ALB
2020-10-06,144,4,ALB
2020-10-05,149,4,ALB
2020-10-04,152,3,ALB
2020-10-03,159,1,ALB
2020-10-02,157,1,ALB
2020-10-01,131,3,ALB
2020-09-30,127,4,ALB
2020-09-29,132,3,ALB
2020-09-28,106,2,ALB
2020-09-27,108,2,ALB
2020-09-26,124,3,ALB
2020-09-25,134,0,ALB
2020-09-24,121,3,ALB
2020-09-23,131,3,ALB
2020-09-22,150,2,ALB
2020-09-21,159,4,ALB
2020-09-20,153,5,ALB
2020-09-19,125,5,ALB
2020-09-18,132,5,ALB
2020-09-17,144,3,ALB
2020-09-16,152,2,ALB
2020-09-15,167,4,ALB
2020-09-14,168,4,ALB
2020-09-13,164,3,ALB
2020-09-12,161,3,ALB
2020-09-11,156,2,ALB
2020-09-10,151,1,ALB
2020-09-09,147,2,ALB
2020-09-08,151,3,ALB
2020-09-07,153,4,ALB
2020-09-06,135,6,ALB
2020-09-05,123,5,ALB
2020-09-04,116,5,ALB
2020-09-03,122,6,ALB
2020-09-02,93,6,ALB
2020-09-01,133,4,ALB
2020-08-31,101,5,ALB
2020-08-30,84,4,ALB
2020-08-29,112,5,ALB
2020-08-28,156,3,ALB
2020-08-27,168,4,ALB
2020-08-26,154,5,ALB
2020-08-25,178,4,ALB
2020-08-24,152,5,ALB
2020-08-23,156,5,ALB
2020-08-22,152,2,ALB
2020-08-21,155,4,ALB
2020-08-20,158,2,ALB
2020-08-19,155,2,ALB
2020-08-18,119,2,ALB
2020-08-17,120,3,ALB
2020-08-16,143,6,ALB
2020-08-15,146,6,ALB
2020-08-14,154,5,ALB
2020-08-13,141,3,ALB
2020-08-12,140,5,ALB
2020-08-11,125,1,ALB
2020-08-10,136,6,ALB
2020-08-09,124,4,ALB
2020-08-08,135,1,ALB
2020-08-07,127,6,ALB
2020-08-06,139,6,ALB
2020-08-05,130,4,ALB
2020-08-04,101,6,ALB
2020-08-03,123,5,ALB
2020-08-02,120,4,ALB
2020-08-01,79,3,ALB
2020-07-31,92,4,ALB
2020-07-30,108,2,ALB
2020-07-29,117,4,ALB
2020-07-28,117,6,ALB
2020-07-27,126,4,ALB
2020-07-26,67,6,ALB
2020-07-25,104,5,ALB
2020-07-24,108,3,ALB
2020-07-23,68,3,ALB
2020-07-22,119,4,ALB
2020-07-21,81,1,ALB
2020-07-20,82,1,ALB
2020-07-19,102,4,ALB
2020-07-18,55,3,ALB
2020-07-17,99,3,ALB
2020-07-16,85,4,ALB
2020-07-15,96,2,ALB
2020-07-14,117,2,ALB
2020-07-13,83,4,ALB
2020-07-12,93,4,ALB
2020-07-11,90,2,ALB
2020-07-10,82,0,ALB
2020-07-09,68,2,ALB
2020-07-08,74,2,ALB
2020-07-07,71,3,ALB
2020-07-06,74,2,ALB
2020-07-05,67,2,ALB
2020-07-04,90,3,ALB
2020-07-03,82,4,ALB
2020-07-02,45,3,ALB
2020-07-01,69,4,ALB
2020-06-30,64,3,ALB
2020-06-29,72,2,ALB
2020-06-28,61,2,ALB
2020-06-27,77,2,ALB
2020-06-26,78,2,ALB
2020-06-25,67,2,ALB
2020-06-24,52,1,ALB
2020-06-23,68,0,ALB
2020-06-22,36,1,ALB
2020-06-21,53,1,ALB
2020-06-20,50,3,ALB
2020-06-19,66,1,ALB
2020-06-18,50,1,ALB
2020-06-17,82,1,ALB
2020-06-16,69,0,ALB
2020-06-15,57,0,ALB
2020-06-14,48,0,ALB
2020-06-13,31,1,ALB
2020-06-12,44,1,ALB
2020-06-11,42,0,ALB
2020-06-10,36,0,ALB
2020-06-09,17,0,ALB
2020-06-08,14,0,ALB
2020-06-07,20,1,ALB
2020-06-06,15,0,ALB
2020-06-05,13,0,ALB
2020-06-04,20,0,ALB
2020-06-03,21,0,ALB
2020-06-02,6,0,ALB
2020-06-01,15,0,ALB
2020-05-31,23,0,ALB
2020-05-30,23,0,ALB
2020-05-29,26,0,ALB
2020-05-28,21,0,ALB
2020-05-27,25,1,ALB
2020-05-26,6,0,ALB
2020-05-25,9,1,ALB
2020-05-24,8,0,ALB
2020-05-23,12,0,ALB
2020-05-22,5,0,ALB
2020-05-21,15,0,ALB
2020-05-20,1,0,ALB
2020-05-19,2,0,ALB
2020-05-18,13,0,ALB
2020-05-17,17,0,ALB
2020-05-16,18,0,ALB
2020-05-15,18,0,ALB
2020-05-14,4,0,ALB
2020-05-13,4,0,ALB
2020-05-12,4,0,ALB
2020-05-11,12,0,ALB
2020-05-10,6,0,ALB
2020-05-09,8,0,ALB
2020-05-08,10,0,ALB
2020-05-07,12,0,ALB
2020-05-06,17,0,ALB
