code,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
AFG,0,1,141,281,12857,29570,34874,36494,37586,39757,44176,47605
ALB,0,0,223,446,802,2146,4877,9060,13198,20314,37305,48210
DZA,0,1,584,1167,6586,10890,27150,41465,48687,54970,79540,89421
AND,0,0,370,740,761,852,919,1121,1963,4662,6709,7335
AGO,0,0,7,14,71,263,1065,2611,4892,10256,15090,16175
AIA,0,0,2,4,4,4,4,4,4,4,5,11
ATG,0,0,7,14,15,56,81,84,91,117,131,138
ARG,0,0,966,1932,13861,59915,176643,398886,734256,1154826,1416454,1495820
ARM,0,0,532,1064,8280,24540,37548,42748,48899,88811,134122,147680
ABW,0,0,50,100,101,103,120,1997,3934,4472,4838,5049
AUS,7,25,4557,9089,9528,10110,18646,28013,29406,29925,30236,30374
AUT,0,7,9618,19229,20503,21531,24874,31083,48472,105308,282047,323901
AZE,0,1,273,545,4025,15747,30339,35088,38898,52953,116974,174653
BHS,0,0,14,28,50,52,456,2115,3851,6592,7444,7622
BHR,0,38,515,992,8864,24310,38826,49645,68493,79537,84858,87214
BGD,0,0,49,98,37603,134796,227884,303817,355038,399359,455402,483528
BRB,0,0,34,68,80,85,98,161,178,224,263,280
BLR,0,1,105,209,28686,48818,54693,58715,65288,84527,122036,147323
BEL,0,1,15304,30607,39585,42557,50263,66079,103049,423072,558468,588638
BLZ,0,0,3,6,6,12,36,982,1931,3450,5731,9283
BEN,0,0,6,12,175,1130,1713,2088,2283,2586,2917,3033
BMU,0,0,27,54,83,89,99,112,124,142,194,374
BTN,0,0,4,8,44,78,102,225,282,349,397,439
BOL,0,0,107,214,8696,31229,74338,115072,133745,140735,143726,146254
BES,0,0,0,0,1,1,5,9,100,147,155,167
BIH,0,0,353,706,1510,3360,10461,18806,26239,47170,86391,100134
BWA,0,0,0,0,12,152,781,1610,3149,6619,9969,12478
BRA,0,1,4579,9157,429435,1299190,2541097,3793306,4708517,5447653,6245735,6832947
VGB,0,0,3,6,8,8,8,37,71,72,73,76
BRN,0,0,127,254,257,257,257,260,262,264,266,268
BGR,0,0,359,718,1784,4102,10691,15461,19818,50312,141757,178720
